"Term","Section","Former","Title","Credits","Instructional Method","Location","Start Date","End Date","Meeting Days","Start Time","End Time","Instructor(s)","Seats Remaining","GERS","Purpose","Prequisites","Notes","Sort","Courses ID"
"Spring 2017 - Day","MSL-202-01","MS-22","Foundations of Leaderships II", 2.0,"EXAM","PYR 126","05/01/17","05/01/17","M","12:00PM","02:30PM","",17,"","undergraduate day","","","3","3628"
"Spring 2017 - Day","MSL-302-01","MS-32","Applied Leadership", 2.0,"SKL","PYR 126","01/09/17","04/25/17","MW","01:30PM","02:20PM","Lt. Col. Gregory C. Scrivens",16,"","undergraduate day","","","1","3646"
"Spring 2017 - Day","MSL-302-01","MS-32","Applied Leadership", 2.0,"LAB","PYR 126","01/09/17","04/25/17","M","02:30PM","05:00PM","",16,"","undergraduate day","","","2","3646"
"Spring 2017 - Day","MSL-302-01","MS-32","Applied Leadership", 2.0,"EXAM","PYR 126","05/01/17","05/01/17","M","12:00PM","02:30PM","",16,"","undergraduate day","","","3","3646"
"Spring 2017 - Day","MSL-402-01","MS-42","Adaptive Leadership", 2.0,"SKL","PYR 126","01/09/17","04/25/17","MW","01:30PM","02:20PM","Lt. Col. Gregory C. Scrivens",15,"","undergraduate day","","","1","3649"
"Spring 2017 - Day","MSL-402-01","MS-42","Adaptive Leadership", 2.0,"LAB","PYR 126","01/09/17","04/25/17","M","02:30PM","05:00PM","",15,"","undergraduate day","","","2","3649"
"Spring 2017 - Day","MSL-402-01","MS-42","Adaptive Leadership", 2.0,"EXAM","PYR 126","05/01/17","05/01/17","M","12:00PM","02:30PM","",15,"","undergraduate day","","","3","3649"
"Spring 2017 - Day","MTH-110-01","MTH-16","Finite Mathematics", 4.0,"LEC","RLY 109E","01/09/17","04/25/17","MWF","11:30AM","12:20PM","Dr. John Harris",2,"MR","undergraduate day","","","1","3596"
"Spring 2017 - Day","MTH-110-01","MTH-16","Finite Mathematics", 4.0,"EXAM","RLY 109E","05/03/17","05/03/17","W","12:00PM","02:30PM","",2,"MR","undergraduate day","","","2","3596"
"Spring 2017 - Day","MTH-110-02","MTH-16","Finite Mathematics", 4.0,"LEC","RLY 109E","01/09/17","04/25/17","MWF","12:30PM","01:20PM","Casey W. Hawthorne","FULL","MR","undergraduate day","","","1","3596"
"Spring 2017 - Day","MTH-110-02","MTH-16","Finite Mathematics", 4.0,"EXAM","RLY 109E","04/28/17","04/28/17","F","12:00PM","02:30PM","","FULL","MR","undergraduate day","","","2","3596"
"Spring 2017 - Day","MTH-110-03","MTH-16","Finite Mathematics", 4.0,"LEC","RLY 102","01/09/17","04/25/17","MWF","01:30PM","02:20PM","Dr. Doug Rall",2,"MR","undergraduate day","","","1","3596"
"Spring 2017 - Day","MTH-110-03","MTH-16","Finite Mathematics", 4.0,"EXAM","RLY 102","05/01/17","05/01/17","M","12:00PM","02:30PM","",2,"MR","undergraduate day","","","2","3596"
"Spring 2017 - Day","MTH-120-01","MTH-30","Introduction to Statistics", 4.0,"LEC","RLY 103","01/09/17","04/25/17","MWF","08:30AM","09:20AM","Dr. Bob Fray",1,"MR","undergraduate day","","","1","5646"
"Spring 2017 - Day","MTH-120-01","MTH-30","Introduction to Statistics", 4.0,"EXAM","RLY 103","04/28/17","04/28/17","F","08:30AM","11:00AM","",1,"MR","undergraduate day","","","2","5646"
"Spring 2017 - Day","MTH-120-02","MTH-30","Introduction to Statistics", 4.0,"LEC","RLY 105","01/09/17","04/25/17","MWF","10:30AM","11:20AM","Dr. Dan Sloughter","FULL","MR","undergraduate day","","","1","5646"
"Spring 2017 - Day","MTH-120-02","MTH-30","Introduction to Statistics", 4.0,"EXAM","RLY 105","05/03/17","05/03/17","W","08:30AM","11:00AM","","FULL","MR","undergraduate day","","","2","5646"
"Spring 2017 - Day","MTH-120-03","MTH-30","Introduction to Statistics", 4.0,"LEC","RLY 103","01/09/17","04/25/17","MWF","11:30AM","12:20PM","Dr. Nancy Shell","FULL","MR","undergraduate day","","","1","5646"
"Spring 2017 - Day","MTH-120-03","MTH-30","Introduction to Statistics", 4.0,"EXAM","RLY 103","05/03/17","05/03/17","W","12:00PM","02:30PM","","FULL","MR","undergraduate day","","","2","5646"
"Spring 2017 - Day","MTH-120-04","MTH-30","Introduction to Statistics", 4.0,"LEC","RLY 105","01/09/17","04/25/17","MWF","01:30PM","02:20PM","Dr. Nancy Shell","FULL","MR","undergraduate day","","","1","5646"
"Spring 2017 - Day","MTH-120-04","MTH-30","Introduction to Statistics", 4.0,"EXAM","RLY 105","05/01/17","05/01/17","M","12:00PM","02:30PM","","FULL","MR","undergraduate day","","","2","5646"
"Spring 2017 - Day","MTH-145-01","","Calc for Life & Social Science", 4.0,"LEC","RLY 105","01/09/17","04/25/17","MWF","08:30AM","09:20AM","Dr. Tom Lewis","FULL","MR","undergraduate day","","","1","5647"
"Spring 2017 - Day","MTH-145-01","","Calc for Life & Social Science", 4.0,"EXAM","RLY 105","04/28/17","04/28/17","F","08:30AM","11:00AM","","FULL","MR","undergraduate day","","","2","5647"
"Spring 2017 - Day","MTH-145-02","","Calc for Life & Social Science", 4.0,"LEC","RLY 105","01/09/17","04/25/17","MWF","09:30AM","10:20AM","Dr. Tom Lewis",2,"MR","undergraduate day","","","1","5647"
"Spring 2017 - Day","MTH-145-02","","Calc for Life & Social Science", 4.0,"EXAM","RLY 105","05/01/17","05/01/17","M","08:30AM","11:00AM","",2,"MR","undergraduate day","","","2","5647"
"Spring 2017 - Day","MTH-145-03","","Calc for Life & Social Science", 4.0,"LEC","RLY 103","01/09/17","04/25/17","MWF","10:30AM","11:20AM","Dr. Kevin R. Hutson","FULL","MR","undergraduate day","","","1","5647"
"Spring 2017 - Day","MTH-145-03","","Calc for Life & Social Science", 4.0,"EXAM","RLY 103","05/03/17","05/03/17","W","08:30AM","11:00AM","","FULL","MR","undergraduate day","","","2","5647"
"Spring 2017 - Day","MTH-145-04","","Calc for Life & Social Science", 4.0,"LEC","RLY 105","01/09/17","04/25/17","MWF","12:30PM","01:20PM","Marty Cook",5,"MR","undergraduate day","","","1","5647"
"Spring 2017 - Day","MTH-145-04","","Calc for Life & Social Science", 4.0,"EXAM","RLY 105","04/28/17","04/28/17","F","12:00PM","02:30PM","",5,"MR","undergraduate day","","","2","5647"
"Spring 2017 - Day","MTH-150-01","MTH-11","Analytic Geometry/Calculus I", 4.0,"LEC","RLY 107","01/09/17","04/25/17","MTWF","08:30AM","09:20AM","Marty Cook",20,"MR","undergraduate day","appropriate placement","","1","3603"
"Spring 2017 - Day","MTH-150-01","MTH-11","Analytic Geometry/Calculus I", 4.0,"EXAM","RLY 107","04/28/17","04/28/17","F","08:30AM","11:00AM","",20,"MR","undergraduate day","appropriate placement","","2","3603"
"Spring 2017 - Day","MTH-150-02","MTH-11","Analytic Geometry/Calculus I", 4.0,"LEC","RLY 107","01/09/17","04/25/17","MTWF","10:30AM","11:20AM","Marty Cook",9,"MR","undergraduate day","appropriate placement","","1","3603"
"Spring 2017 - Day","MTH-150-02","MTH-11","Analytic Geometry/Calculus I", 4.0,"EXAM","RLY 107","05/03/17","05/03/17","W","08:30AM","11:00AM","",9,"MR","undergraduate day","appropriate placement","","2","3603"
"Spring 2017 - Day","MTH-150-03","MTH-11","Analytic Geometry/Calculus I", 4.0,"LEC","RLY 105","01/09/17","04/25/17","MTRF","11:30AM","12:20PM","Dr. Mark Woodard",1,"MR","undergraduate day","appropriate placement","","1","3603"
"Spring 2017 - Day","MTH-150-03","MTH-11","Analytic Geometry/Calculus I", 4.0,"EXAM","RLY 105","04/27/17","04/27/17","R","12:00PM","02:30PM","",1,"MR","undergraduate day","appropriate placement","","2","3603"
"Spring 2017 - Day","MTH-151-01","MTH-12","Analytic Geometry/Calculus II", 4.0,"LEC","RLY 102","01/09/17","04/25/17","MTWF","08:30AM","09:20AM","Dr. Doug Rall",19,"","undergraduate day","MTH-141 or 150","","1","3604"
"Spring 2017 - Day","MTH-151-01","MTH-12","Analytic Geometry/Calculus II", 4.0,"EXAM","RLY 102","04/28/17","04/28/17","F","08:30AM","11:00AM","",19,"","undergraduate day","MTH-141 or 150","","2","3604"
"Spring 2017 - Day","MTH-151-02","MTH-12","Analytic Geometry/Calculus II", 4.0,"LEC","RLY 103","01/09/17","04/25/17","MTRF","01:30PM","02:20PM","Dr. Liz Bouzarth","FULL","","undergraduate day","MTH-141 or 150","","1","3604"
"Spring 2017 - Day","MTH-151-02","MTH-12","Analytic Geometry/Calculus II", 4.0,"EXAM","RLY 103","05/01/17","05/01/17","M","12:00PM","02:30PM","","FULL","","undergraduate day","MTH-141 or 150","","2","3604"
"Spring 2017 - Day","MTH-160-01","MTH-13","Vectors and Matrices", 4.0,"LEC","RLY 102","01/09/17","04/25/17","MWF","10:30AM","11:20AM","Dr. Mark Woodard",4,"","undergraduate day","MTH-151","","1","3606"
"Spring 2017 - Day","MTH-160-01","MTH-13","Vectors and Matrices", 4.0,"EXAM","RLY 102","05/03/17","05/03/17","W","08:30AM","11:00AM","",4,"","undergraduate day","MTH-151","","2","3606"
"Spring 2017 - Day","MTH-250-01","MTH-21","Vector Calculus", 4.0,"LEC","RLY 107","01/09/17","04/25/17","MWF","11:30AM","12:20PM","Dr. Bob Fray",6,"","undergraduate day","MTH-160","","1","3608"
"Spring 2017 - Day","MTH-250-01","MTH-21","Vector Calculus", 4.0,"EXAM","RLY 107","05/03/17","05/03/17","W","12:00PM","02:30PM","",6,"","undergraduate day","MTH-160","","2","3608"
"Spring 2017 - Day","MTH-255-01","MTH-22","Differential Equations", 4.0,"LEC","RLY 102","01/09/17","04/25/17","MWF","12:30PM","01:20PM","Dr. Dan Sloughter",14,"","undergraduate day","MTH-160","","1","3609"
"Spring 2017 - Day","MTH-255-01","MTH-22","Differential Equations", 4.0,"EXAM","RLY 102","04/28/17","04/28/17","F","12:00PM","02:30PM","",14,"","undergraduate day","MTH-160","","2","3609"
"Spring 2017 - Day","MTH-260-01","MTH-28","Higher Mathematics Transition", 4.0,"LEC","RLY 102","01/09/17","04/25/17","MWF","09:30AM","10:20AM","Dr. Kevin R. Hutson",6,"","undergraduate day","MTH-151","","1","3611"
"Spring 2017 - Day","MTH-260-01","MTH-28","Higher Mathematics Transition", 4.0,"EXAM","RLY 102","05/01/17","05/01/17","M","08:30AM","11:00AM","",6,"","undergraduate day","MTH-151","","2","3611"
"Spring 2017 - Day","MTH-301-01","MTH-31","Math for Elem School Tchrs I", 4.0,"LEC","RLY 101","01/09/17","04/25/17","MWF","08:30AM","09:20AM","Casey W. Hawthorne",4,"","undergraduate day","","","1","3612"
"Spring 2017 - Day","MTH-301-01","MTH-31","Math for Elem School Tchrs I", 4.0,"EXAM","RLY 101","04/28/17","04/28/17","F","08:30AM","11:00AM","",4,"","undergraduate day","","","2","3612"
"Spring 2017 - Day","MTH-301-02","MTH-31","Math for Elem School Tchrs I", 4.0,"LEC","RLY 101","01/09/17","04/25/17","MWF","11:30AM","12:20PM","Casey W. Hawthorne",3,"","undergraduate day","","","1","3612"
"Spring 2017 - Day","MTH-301-02","MTH-31","Math for Elem School Tchrs I", 4.0,"EXAM","RLY 101","05/03/17","05/03/17","W","12:00PM","02:30PM","",3,"","undergraduate day","","","2","3612"
"Spring 2017 - Day","MTH-341-01","MTH-47","Mathematical Statistics", 4.0,"LEC","RLY 107","01/09/17","04/25/17","MWF","12:30PM","01:20PM","Dr. Kevin R. Hutson",15,"","undergraduate day","MTH-340","","1","3198"
"Spring 2017 - Day","MTH-341-01","MTH-47","Mathematical Statistics", 4.0,"EXAM","RLY 107","04/28/17","04/28/17","F","12:00PM","02:30PM","",15,"","undergraduate day","MTH-340","","2","3198"
"Spring 2017 - Day","MTH-360-01","MTH-34","Linear Algebra & Matrix Theory", 4.0,"LEC","RLY 109E","01/09/17","04/25/17","MWF","10:30AM","11:20AM","Dr. John Harris",5,"","undergraduate day","MTH-160 and 260","","1","3200"
"Spring 2017 - Day","MTH-360-01","MTH-34","Linear Algebra & Matrix Theory", 4.0,"EXAM","RLY 109E","05/03/17","05/03/17","W","08:30AM","11:00AM","",5,"","undergraduate day","MTH-160 and 260","","2","3200"
"Spring 2017 - Day","MTH-435-01","","Scientific Computation", 4.0,"LEC","RLY 101","01/09/17","04/25/17","MWF","09:30AM","10:20AM","Dr. Liz Bouzarth",19,"","undergraduate day","","","1","5648"
"Spring 2017 - Day","MTH-435-01","","Scientific Computation", 4.0,"EXAM","RLY 101","05/01/17","05/01/17","M","08:30AM","11:00AM","",19,"","undergraduate day","","","2","5648"
"Spring 2017 - Day","MTH-451-01","MTH-42","Topics in Analysis", 4.0,"LEC","RLY 102","01/09/17","04/25/17","MWF","11:30AM","12:20PM","Dr. Tom Lewis",22,"","undergraduate day","MTH-450","","1","3203"
"Spring 2017 - Day","MTH-451-01","MTH-42","Topics in Analysis", 4.0,"EXAM","RLY 102","05/03/17","05/03/17","W","12:00PM","02:30PM","",22,"","undergraduate day","MTH-450","","2","3203"
"Spring 2017 - Day","MUS-050-01","MUSR-06","Recital Attendance", 0.0,"ACT","DMB RCT","01/09/17","04/25/17","T","02:30PM","03:20PM","Ms. Emily Sweezey",46,"","undergraduate day","","","1","4057"
"Spring 2017 - Day","MUS-060-01","MUSE-04","Symphony Orchestra", 0.0,"ACT","DMB 013","01/09/17","04/25/17","TR","03:30PM","05:30PM","Dr. Tom Joiner",15,"","undergraduate day","","","1","3224"
"Spring 2017 - Day","MUS-061-01","MUSE-03","Furman Bands", 0.0,"ACT","DMB 013","01/09/17","04/25/17","MWF","03:30PM","05:45PM","Team Taught",33,"","undergraduate day","","","1"
"Spring 2017 - Day","MUS-061-01","MUSE-03","Furman Bands", 0.0,"","","","","","","","Dr. Les Hicken",33,"","undergraduate day","","",1
"Spring 2017 - Day","MUS-061-01","MUSE-03","Furman Bands", 0.0,"","","","","","","","Mr. Jay A. Bocook",33,"","undergraduate day","","",1
"Spring 2017 - Day","MUS-062-01","MUSE-01","Furman Singers", 0.0,"ACT","HMP 121","01/09/17","04/25/17","TR","03:30PM","05:30PM","Dr. Hugh F. Floyd",31,"","undergraduate day","","","1","3232"
"Spring 2017 - Day","MUS-063-01","MUSE-13","Men's Chorale", 0.0,"ACT","HMP 121","01/09/17","04/25/17","TR","01:00PM","02:15PM","Mr. James M. Keesler, Jr.",13,"","undergraduate day","","","1","3233"
"Spring 2017 - Day","MUS-063-01","MUSE-13","Men's Chorale", 0.0,"ADD","HMP 121","01/09/17","04/25/17","T","03:30PM","05:30PM","",13,"","undergraduate day","","","2","3233"
"Spring 2017 - Day","MUS-064-01","MUSE-02","Women's Chorale", 0.0,"ACT","HMP 121","01/09/17","04/25/17","TR","01:00PM","02:15PM","Dr. Vivian Hamilton",23,"","undergraduate day","","","1","3235"
"Spring 2017 - Day","MUS-064-01","MUSE-02","Women's Chorale", 0.0,"ADD","HMP 121","01/09/17","04/25/17","R","03:30PM","05:30PM","",23,"","undergraduate day","","","2","3235"
"Spring 2017 - Day","MUS-065-01","MUSE-14","Chamber Choir", 0.0,"ACT","HMP 121","01/09/17","04/25/17","MW","02:30PM","03:20PM","Dr. Hugh F. Floyd","FULL","","undergraduate day","","","1","3237"
"Spring 2017 - Day","MUS-066-01","MUSE-05","Oratorio Chorus", 0.0,"ACT","HMP 121","01/09/17","04/25/17","TR","03:30PM","05:30PM","Dr. Vivian Hamilton",20,"","undergraduate day","","","1","3240"
"Spring 2017 - Day","MUS-067-01","MUSE-11","Jazz Ensemble", 0.0,"ACT","DMB 013","01/09/17","04/25/17","T","05:30PM","07:00PM","Dr. Matthew W. Olson","FULL","","undergraduate day","","","1","3243"
"Spring 2017 - Day","MUS-067-01","MUSE-11","Jazz Ensemble", 0.0,"ACT","DMB 013","01/09/17","04/25/17","R","02:30PM","03:20PM","","FULL","","undergraduate day","","","2","3243"
"Spring 2017 - Day","MUS-068-01","MUSE-12","Jazz Combo", 0.0,"ACT","DMB 013","01/09/17","04/25/17","TR","05:30PM","07:30PM","James S. Watson",9,"","undergraduate day","","","1","3244"
"Spring 2017 - Day","MUS-068-02","MUSE-12","Jazz Combo", 0.0,"ACT","DMB 013","01/09/17","04/25/17","TR","05:30PM","07:30PM","Dr. Matthew W. Olson",11,"","undergraduate day","","","1","3244"
"Spring 2017 - Day","MUS-068-03","MUSE-12","Jazz Combo", 0.0,"ACT","DMB 013","01/09/17","04/25/17","TR","05:30PM","07:30PM","James S. Watson",10,"","undergraduate day","","","1","3244"
"Spring 2017 - Day","MUS-069-01","MUSE-09","Brass Ensemble", 0.0,"ACT","DMB 013","01/09/17","04/25/17","W","02:30PM","03:20PM","Dr. Gary Malvern",25,"","undergraduate day","","","1","3245"
"Spring 2017 - Day","MUS-070-01","MUSE-08","Woodwind Ensemble", 0.0,"ACT"," ","01/09/17","04/25/17","","","","Dr. Cecilia Kang",12,"","undergraduate day","","","1","3246"
"Spring 2017 - Day","MUS-071-01","MUSE-10","Percussion Ensemble", 0.0,"ACT","DMB 013","01/09/17","04/25/17","MW","06:00PM","08:00PM","Dr. Omar Carmenates",7,"","undergraduate day","","","1","3247"
"Spring 2017 - Day","MUS-072-01","MUSE-15","String Ensemble", 0.0,"ACT"," ","01/09/17","04/25/17","","","","Dr. Anna Joiner",20,"","undergraduate day","","","1","3248"
"Spring 2017 - Day","MUS-073-01","","String Quartet", 0.0,"ACT"," ","01/09/17","04/25/17","","","","Team-Taught",12,"","undergraduate day","","","1"
"Spring 2017 - Day","MUS-073-01","","String Quartet", 0.0,"","","","","","","","Dr. Anna Joiner",12,"","undergraduate day","","",1
"Spring 2017 - Day","MUS-073-01","","String Quartet", 0.0,"","","","","","","","Dr. Tom Joiner",12,"","undergraduate day","","",1
"Spring 2017 - Day","MUS-074-01","","Saxophone Quartet", 0.0,"ACT"," ","01/09/17","04/25/17","","","","Dr. Matthew W. Olson",16,"","undergraduate day","","","1","3250"
"Spring 2017 - Day","MUS-101-01","MUS-20","Introduction to Music", 4.0,"LEC","FUR 214","01/09/17","04/25/17","TR","08:30AM","09:45AM","Kathryn Rhyne",1,"VP","undergraduate day","","instructor permission now required","1","3251"
"Spring 2017 - Day","MUS-101-01","MUS-20","Introduction to Music", 4.0,"EXAM","FUR 214","04/27/17","04/27/17","R","08:30AM","11:00AM","",1,"VP","undergraduate day","","instructor permission now required","2","3251"
"Spring 2017 - Day","MUS-101-02","MUS-20","Introduction to Music", 4.0,"LEC","FUR 214","01/09/17","04/25/17","TR","10:00AM","11:15AM","Dr. John Beckford",1,"VP","undergraduate day","","","1","3251"
"Spring 2017 - Day","MUS-101-02","MUS-20","Introduction to Music", 4.0,"EXAM","FUR 214","05/02/17","05/02/17","T","08:30AM","11:00AM","",1,"VP","undergraduate day","","","2","3251"
"Spring 2017 - Day","MUS-101-03","MUS-20","Introduction to Music", 4.0,"LEC","JHN 201","01/09/17","04/25/17","W","02:30PM","05:00PM","Petrea Warneck","FULL","VP","undergraduate day","","","1","3251"
"Spring 2017 - Day","MUS-101-03","MUS-20","Introduction to Music", 4.0,"EXAM","JHN 201","04/27/17","04/27/17","R","03:30PM","06:00PM","","FULL","VP","undergraduate day","","","2","3251"
"Spring 2017 - Day","MUS-101-04","MUS-20","Introduction to Music", 4.0,"LEC","FUR 214","01/09/17","04/25/17","MWF","12:30PM","01:20PM","Dr. Cecilia Kang","FULL","VP","undergraduate day","","","1","3251"
"Spring 2017 - Day","MUS-101-04","MUS-20","Introduction to Music", 4.0,"EXAM","FUR 214","04/28/17","04/28/17","F","12:00PM","02:30PM","","FULL","VP","undergraduate day","","","2","3251"
"Spring 2017 - Day","MUS-102-01","MUS-19","Introduction to Jazz", 4.0,"LEC","HMP 121","01/09/17","04/25/17","TR","11:30AM","12:45PM","James S. Watson",1,"VP","undergraduate day","","","1","3252"
"Spring 2017 - Day","MUS-102-01","MUS-19","Introduction to Jazz", 4.0,"EXAM","HMP 121","04/27/17","04/27/17","R","12:00PM","02:30PM","",1,"VP","undergraduate day","","","2","3252"
"Spring 2017 - Day","MUS-104-01","MUSA-67","Voice Class I", 2.0,"SKL","DMB 104","01/09/17","04/25/17","MF","09:30AM","10:20AM","Ms. Kathryn C. Knauer",4,"","undergraduate day","","","1","3254"
"Spring 2017 - Day","MUS-104-01","MUSA-67","Voice Class I", 2.0,"EXAM","DMB 104","05/01/17","05/01/17","M","08:30AM","11:00AM","",4,"","undergraduate day","","","2","3254"
"Spring 2017 - Day","MUS-105-01","","Voice Class II", 2.0,"SKL","DMB 104","01/09/17","04/25/17","MF","09:30AM","10:20AM","Ms. Kathryn C. Knauer",10,"","undergraduate day","","","1","3255"
"Spring 2017 - Day","MUS-105-01","","Voice Class II", 2.0,"EXAM","DMB 104","05/01/17","05/01/17","M","08:30AM","11:00AM","",10,"","undergraduate day","","","2","3255"
"Spring 2017 - Day","MUS-106-01","MUSA-77","Piano Class I", 2.0,"SKL","DMB 005","01/09/17","04/25/17","WF","09:30AM","10:20AM","Dr. Ruth Neville",1,"","undergraduate day","","","1","3269"
"Spring 2017 - Day","MUS-106-01","MUSA-77","Piano Class I", 2.0,"EXAM","DMB 005","05/01/17","05/01/17","M","08:30AM","11:00AM","",1,"","undergraduate day","","","2","3269"
"Spring 2017 - Day","MUS-108-01","MUSA-70","Guitar Class I", 2.0,"SKL","DMB 013","01/09/17","04/25/17","TR","01:00PM","01:50PM","Dr. Silviu O. Ciulei","FULL","","undergraduate day","","","1","3271"
"Spring 2017 - Day","MUS-108-01","MUSA-70","Guitar Class I", 2.0,"EXAM","DMB 013","05/02/17","05/02/17","T","12:00PM","02:30PM","","FULL","","undergraduate day","","","2","3271"
"Spring 2017 - Day","MUS-109-01","MUSA-71","Guitar Class II", 2.0,"SKL","DMB 013","01/09/17","04/25/17","TR","11:30AM","12:20PM","Dr. Silviu O. Ciulei",9,"","undergraduate day","","","1","3272"
"Spring 2017 - Day","MUS-109-01","MUSA-71","Guitar Class II", 2.0,"EXAM","DMB 013","04/27/17","04/27/17","R","12:00PM","02:30PM","",9,"","undergraduate day","","","2","3272"
"Spring 2017 - Day","MUS-112A-01","","Bsc Musicianship II: Written", 2.0,"LEC","DMB 003","01/09/17","04/25/17","TR","08:30AM","09:20AM","Dr. Charles Tompkins",4,"","undergraduate day","MUS-111","","1","3664"
"Spring 2017 - Day","MUS-112A-01","","Bsc Musicianship II: Written", 2.0,"EXAM","DMB 003","04/27/17","04/27/17","R","08:30AM","11:00AM","",4,"","undergraduate day","MUS-111","","2","3664"
"Spring 2017 - Day","MUS-112A-02","","Bsc Musicianship II: Written", 2.0,"LEC","DMB 003","01/09/17","04/25/17","TR","10:30AM","11:20AM","Dr. Dan Koppelman",5,"","undergraduate day","MUS-111","","1","3664"
"Spring 2017 - Day","MUS-112A-02","","Bsc Musicianship II: Written", 2.0,"EXAM","DMB 003","05/02/17","05/02/17","T","08:30AM","11:00AM","",5,"","undergraduate day","MUS-111","","2","3664"
"Spring 2017 - Day","MUS-112A-03","","Bsc Musicianship II: Written", 2.0,"LEC","DMB 003","01/09/17","04/25/17","TR","11:30AM","12:20PM","Dr. Dan Koppelman",1,"","undergraduate day","MUS-111","","1","3664"
"Spring 2017 - Day","MUS-112A-03","","Bsc Musicianship II: Written", 2.0,"EXAM","DMB 003","04/27/17","04/27/17","R","12:00PM","02:30PM","",1,"","undergraduate day","MUS-111","","2","3664"
"Spring 2017 - Day","MUS-112B-01","","Basic Musicianship II: Aural", 1.0,"SKL","DMB 003","01/09/17","04/25/17","MF","08:30AM","09:20AM","Dr. Charles Tompkins",4,"","undergraduate day","MUS-111","","1","3665"
"Spring 2017 - Day","MUS-112B-01","","Basic Musicianship II: Aural", 1.0,"EXAM","DMB 003","04/28/17","04/28/17","F","08:30AM","11:00AM","",4,"","undergraduate day","MUS-111","","2","3665"
"Spring 2017 - Day","MUS-112B-02","","Basic Musicianship II: Aural", 1.0,"SKL","DMB 003","01/09/17","04/25/17","MF","10:30AM","11:20AM","Dr. Ruth Neville",5,"","undergraduate day","MUS-111","","1","3665"
"Spring 2017 - Day","MUS-112B-02","","Basic Musicianship II: Aural", 1.0,"EXAM","DMB 003","05/03/17","05/03/17","W","08:30AM","11:00AM","",5,"","undergraduate day","MUS-111","","2","3665"
"Spring 2017 - Day","MUS-112B-03","","Basic Musicianship II: Aural", 1.0,"SKL","DMB 003","01/09/17","04/25/17","MF","11:30AM","12:20PM","Dr. Ruth Neville",1,"","undergraduate day","MUS-111","","1","3665"
"Spring 2017 - Day","MUS-112B-03","","Basic Musicianship II: Aural", 1.0,"EXAM","DMB 003","05/03/17","05/03/17","W","12:00PM","02:30PM","",1,"","undergraduate day","MUS-111","","2","3665"
"Spring 2017 - Day","MUS-112C-01","","Bsc Musicianship II: Keyboard", 1.0,"SKL","DMB 004","01/09/17","04/25/17","W","08:30AM","09:20AM","Dr. David Gross",2,"","undergraduate day","","","1","3666"
"Spring 2017 - Day","MUS-112C-01","","Bsc Musicianship II: Keyboard", 1.0,"EXAM","DMB 004","05/02/17","05/02/17","T","03:30PM","06:00PM","",2,"","undergraduate day","","","2","3666"
"Spring 2017 - Day","MUS-112C-02","","Bsc Musicianship II: Keyboard", 1.0,"SKL","DMB 005","01/09/17","04/25/17","W","08:30AM","09:20AM","Dr. Karen A. Eshelman",2,"","undergraduate day","","","1","3666"
"Spring 2017 - Day","MUS-112C-02","","Bsc Musicianship II: Keyboard", 1.0,"EXAM","DMB 005","05/02/17","05/02/17","T","03:30PM","06:00PM","",2,"","undergraduate day","","","2","3666"
"Spring 2017 - Day","MUS-112C-03","","Bsc Musicianship II: Keyboard", 1.0,"SKL","DMB 004","01/09/17","04/25/17","W","10:30AM","11:20AM","Dr. Ruth Neville",3,"","undergraduate day","","","1","3666"
"Spring 2017 - Day","MUS-112C-03","","Bsc Musicianship II: Keyboard", 1.0,"EXAM","DMB 004","05/02/17","05/02/17","T","03:30PM","06:00PM","",3,"","undergraduate day","","","2","3666"
"Spring 2017 - Day","MUS-112C-04","","Bsc Musicianship II: Keyboard", 1.0,"SKL","DMB 005","01/09/17","04/25/17","W","10:30AM","11:20AM","Dr. Derek Parsons",2,"","undergraduate day","","","1","3666"
"Spring 2017 - Day","MUS-112C-04","","Bsc Musicianship II: Keyboard", 1.0,"EXAM","DMB 005","05/02/17","05/02/17","T","03:30PM","06:00PM","",2,"","undergraduate day","","","2","3666"
"Spring 2017 - Day","MUS-112C-05","","Bsc Musicianship II: Keyboard", 1.0,"SKL","DMB 004","01/09/17","04/25/17","W","11:30AM","12:20PM","Dr. Ruth Neville","FULL","","undergraduate day","","","1","3666"
"Spring 2017 - Day","MUS-112C-05","","Bsc Musicianship II: Keyboard", 1.0,"EXAM","DMB 004","05/02/17","05/02/17","T","03:30PM","06:00PM","","FULL","","undergraduate day","","","2","3666"
"Spring 2017 - Day","MUS-112C-06","","Bsc Musicianship II: Keyboard", 1.0,"SKL","DMB 005","01/09/17","04/25/17","W","11:30AM","12:20PM","Dr. Ruby Morgan",1,"","undergraduate day","","","1","3666"
"Spring 2017 - Day","MUS-112C-06","","Bsc Musicianship II: Keyboard", 1.0,"EXAM","DMB 005","05/02/17","05/02/17","T","03:30PM","06:00PM","",1,"","undergraduate day","","","2","3666"
"Spring 2017 - Day","MUS-113-01","","Composition Seminar", 1.0,"SEM","HMP 123E","01/09/17","04/25/17","F","02:30PM","04:30PM","Team-Taught",5,"","undergraduate day","","","1"
"Spring 2017 - Day","MUS-113-01","","Composition Seminar", 1.0,"EXAM","HMP 123E","04/28/17","04/28/17","F","03:30PM","06:00PM","Dr. Mark Kilstofte",5,"","undergraduate day","","","2"
"Spring 2017 - Day","MUS-113-01","","Composition Seminar", 1.0,"","","","","","","","Dr. Dan Koppelman",5,"","undergraduate day","","",1
